kb;geom_3068
1011;POLYGON((40000 12400, 41600 12400, 41600 10000, 40000 10000, 40000 12400))
1012;POLYGON((41600 12400, 43200 12400, 43200 10000, 41600 10000, 41600 12400))
1013;POLYGON((43200 12400, 44800 12400, 44800 10000, 43200 10000, 43200 12400))
1014;POLYGON((44800 12400, 46400 12400, 46400 10000, 44800 10000, 44800 12400))
1015;POLYGON((40000 14800, 41600 14800, 41600 12400, 40000 12400, 40000 14800))
1016;POLYGON((41600 14800, 43200 14800, 43200 12400, 41600 12400, 41600 14800))
1017;POLYGON((43200 14800, 44800 14800, 44800 12400, 43200 12400, 43200 14800))
1018;POLYGON((44800 14800, 46400 14800, 46400 12400, 44800 12400, 44800 14800))
1111;POLYGON((40000 17200, 41600 17200, 41600 14800, 40000 14800, 40000 17200))
1112;POLYGON((41600 17200, 43200 17200, 43200 14800, 41600 14800, 41600 17200))
1113;POLYGON((43200 17200, 44800 17200, 44800 14800, 43200 14800, 43200 17200))
1114;POLYGON((44800 17200, 46400 17200, 46400 14800, 44800 14800, 44800 17200))
1115;POLYGON((40000 19600, 41600 19600, 41600 17200, 40000 17200, 40000 19600))
1116;POLYGON((41600 19600, 43200 19600, 43200 17200, 41600 17200, 41600 19600))
1117;POLYGON((43200 19600, 44800 19600, 44800 17200, 43200 17200, 43200 19600))
1118;POLYGON((44800 19600, 46400 19600, 46400 17200, 44800 17200, 44800 19600))
1211;POLYGON((40000 22000, 41600 22000, 41600 19600, 40000 19600, 40000 22000))
1212;POLYGON((41600 22000, 43200 22000, 43200 19600, 41600 19600, 41600 22000))
1213;POLYGON((43200 22000, 44800 22000, 44800 19600, 43200 19600, 43200 22000))
1214;POLYGON((44800 22000, 46400 22000, 46400 19600, 44800 19600, 44800 22000))
1215;POLYGON((40000 24400, 41600 24400, 41600 22000, 40000 22000, 40000 24400))
1216;POLYGON((41600 24400, 43200 24400, 43200 22000, 41600 22000, 41600 24400))
1217;POLYGON((43200 24400, 44800 24400, 44800 22000, 43200 22000, 43200 24400))
1218;POLYGON((44800 24400, 46400 24400, 46400 22000, 44800 22000, 44800 24400))
1021;POLYGON((46400 12400, 48000 12400, 48000 10000, 46400 10000, 46400 12400))
1022;POLYGON((48000 12400, 49600 12400, 49600 10000, 48000 10000, 48000 12400))
1023;POLYGON((49600 12400, 51200 12400, 51200 10000, 49600 10000, 49600 12400))
1024;POLYGON((51200 12400, 52800 12400, 52800 10000, 51200 10000, 51200 12400))
1025;POLYGON((46400 14800, 48000 14800, 48000 12400, 46400 12400, 46400 14800))
1026;POLYGON((48000 14800, 49600 14800, 49600 12400, 48000 12400, 48000 14800))
1027;POLYGON((49600 14800, 51200 14800, 51200 12400, 49600 12400, 49600 14800))
1028;POLYGON((51200 14800, 52800 14800, 52800 12400, 51200 12400, 51200 14800))
1121;POLYGON((46400 17200, 48000 17200, 48000 14800, 46400 14800, 46400 17200))
1122;POLYGON((48000 17200, 49600 17200, 49600 14800, 48000 14800, 48000 17200))
1123;POLYGON((49600 17200, 51200 17200, 51200 14800, 49600 14800, 49600 17200))
1124;POLYGON((51200 17200, 52800 17200, 52800 14800, 51200 14800, 51200 17200))
1125;POLYGON((46400 19600, 48000 19600, 48000 17200, 46400 17200, 46400 19600))
1126;POLYGON((48000 19600, 49600 19600, 49600 17200, 48000 17200, 48000 19600))
1127;POLYGON((49600 19600, 51200 19600, 51200 17200, 49600 17200, 49600 19600))
1128;POLYGON((51200 19600, 52800 19600, 52800 17200, 51200 17200, 51200 19600))
1221;POLYGON((46400 22000, 48000 22000, 48000 19600, 46400 19600, 46400 22000))
1222;POLYGON((48000 22000, 49600 22000, 49600 19600, 48000 19600, 48000 22000))
1223;POLYGON((49600 22000, 51200 22000, 51200 19600, 49600 19600, 49600 22000))
1224;POLYGON((51200 22000, 52800 22000, 52800 19600, 51200 19600, 51200 22000))
1225;POLYGON((46400 24400, 48000 24400, 48000 22000, 46400 22000, 46400 24400))
1226;POLYGON((48000 24400, 49600 24400, 49600 22000, 48000 22000, 48000 24400))
1227;POLYGON((49600 24400, 51200 24400, 51200 22000, 49600 22000, 49600 24400))
1228;POLYGON((51200 24400, 52800 24400, 52800 22000, 51200 22000, 51200 24400))
2011;POLYGON((40000 10000, 41600 10000, 41600 7600, 40000 7600, 40000 10000))
2012;POLYGON((41600 10000, 43200 10000, 43200 7600, 41600 7600, 41600 10000))
2013;POLYGON((43200 10000, 44800 10000, 44800 7600, 43200 7600, 43200 10000))
2014;POLYGON((44800 10000, 46400 10000, 46400 7600, 44800 7600, 44800 10000))
2015;POLYGON((40000 7600, 41600 7600, 41600 5200, 40000 5200, 40000 7600))
2016;POLYGON((41600 7600, 43200 7600, 43200 5200, 41600 5200, 41600 7600))
2017;POLYGON((43200 7600, 44800 7600, 44800 5200, 43200 5200, 43200 7600))
2018;POLYGON((44800 7600, 46400 7600, 46400 5200, 44800 5200, 44800 7600))
2111;POLYGON((40000 5200, 41600 5200, 41600 2800, 40000 2800, 40000 5200))
2112;POLYGON((41600 5200, 43200 5200, 43200 2800, 41600 2800, 41600 5200))
2113;POLYGON((43200 5200, 44800 5200, 44800 2800, 43200 2800, 43200 5200))
2114;POLYGON((44800 5200, 46400 5200, 46400 2800, 44800 2800, 44800 5200))
2115;POLYGON((40000 2800, 41600 2800, 41600 400, 40000 400, 40000 2800))
2116;POLYGON((41600 2800, 43200 2800, 43200 400, 41600 400, 41600 2800))
2117;POLYGON((43200 2800, 44800 2800, 44800 400, 43200 400, 43200 2800))
2118;POLYGON((44800 2800, 46400 2800, 46400 400, 44800 400, 44800 2800))
2021;POLYGON((46400 10000, 48000 10000, 48000 7600, 46400 7600, 46400 10000))
2022;POLYGON((48000 10000, 49600 10000, 49600 7600, 48000 7600, 48000 10000))
2023;POLYGON((49600 10000, 51200 10000, 51200 7600, 49600 7600, 49600 10000))
2024;POLYGON((51200 10000, 52800 10000, 52800 7600, 51200 7600, 51200 10000))
2025;POLYGON((46400 7600, 48000 7600, 48000 5200, 46400 5200, 46400 7600))
2026;POLYGON((48000 7600, 49600 7600, 49600 5200, 48000 5200, 48000 7600))
2027;POLYGON((49600 7600, 51200 7600, 51200 5200, 49600 5200, 49600 7600))
2028;POLYGON((51200 7600, 52800 7600, 52800 5200, 51200 5200, 51200 7600))
2121;POLYGON((46400 5200, 48000 5200, 48000 2800, 46400 2800, 46400 5200))
2122;POLYGON((48000 5200, 49600 5200, 49600 2800, 48000 2800, 48000 5200))
2123;POLYGON((49600 5200, 51200 5200, 51200 2800, 49600 2800, 49600 5200))
2124;POLYGON((51200 5200, 52800 5200, 52800 2800, 51200 2800, 51200 5200))
2125;POLYGON((46400 2800, 48000 2800, 48000 400, 46400 400, 46400 2800))
2126;POLYGON((48000 2800, 49600 2800, 49600 400, 48000 400, 48000 2800))
2127;POLYGON((49600 2800, 51200 2800, 51200 400, 49600 400, 49600 2800))
2128;POLYGON((51200 2800, 52800 2800, 52800 400, 51200 400, 51200 2800))
3011;POLYGON((38400 10000, 40000 10000, 40000 7600, 38400 7600, 38400 10000))
3012;POLYGON((36800 10000, 38400 10000, 38400 7600, 36800 7600, 36800 10000))
3013;POLYGON((35200 10000, 36800 10000, 36800 7600, 35200 7600, 35200 10000))
3014;POLYGON((33600 10000, 35200 10000, 35200 7600, 33600 7600, 33600 10000))
3015;POLYGON((40000 7600, 38400 7600, 38400 5200, 40000 5200, 40000 7600))
3016;POLYGON((36800 7600, 38400 7600, 38400 5200, 36800 5200, 36800 7600))
3017;POLYGON((35200 7600, 36800 7600, 36800 5200, 35200 5200, 35200 7600))
3018;POLYGON((33600 7600, 35200 7600, 35200 5200, 33600 5200, 33600 7600))
3111;POLYGON((38400 5200, 40000 5200, 40000 2800, 38400 2800, 38400 5200))
3112;POLYGON((36800 5200, 38400 5200, 38400 2800, 36800 2800, 36800 5200))
3113;POLYGON((35200 5200, 36800 5200, 36800 2800, 35200 2800, 35200 5200))
3114;POLYGON((33600 5200, 35200 5200, 35200 2800, 33600 2800, 33600 5200))
3115;POLYGON((40000 2800, 38400 2800, 38400 400, 40000 400, 40000 2800))
3116;POLYGON((36800 2800, 38400 2800, 38400 400, 36800 400, 36800 2800))
3117;POLYGON((35200 2800, 36800 2800, 36800 400, 35200 400, 35200 2800))
3118;POLYGON((33600 2800, 35200 2800, 35200 400, 33600 400, 33600 2800))
3021;POLYGON((32000 10000, 33600 10000, 33600 7600, 32000 7600, 32000 10000))
3022;POLYGON((30400 10000, 32000 10000, 32000 7600, 30400 7600, 30400 10000))
3023;POLYGON((28800 10000, 30400 10000, 30400 7600, 28800 7600, 28800 10000))
3024;POLYGON((27200 10000, 28800 10000, 28800 7600, 27200 7600, 27200 10000))
3025;POLYGON((33600 7600, 32000 7600, 32000 5200, 33600 5200, 33600 7600))
3026;POLYGON((30400 7600, 32000 7600, 32000 5200, 30400 5200, 30400 7600))
3027;POLYGON((28800 7600, 30400 7600, 30400 5200, 28800 5200, 28800 7600))
3028;POLYGON((27200 7600, 28800 7600, 28800 5200, 27200 5200, 27200 7600))
3121;POLYGON((32000 5200, 33600 5200, 33600 2800, 32000 2800, 32000 5200))
3122;POLYGON((30400 5200, 32000 5200, 32000 2800, 30400 2800, 30400 5200))
3123;POLYGON((28800 5200, 30400 5200, 30400 2800, 28800 2800, 28800 5200))
3124;POLYGON((27200 5200, 28800 5200, 28800 2800, 27200 2800, 27200 5200))
3125;POLYGON((33600 2800, 32000 2800, 32000 400, 33600 400, 33600 2800))
3126;POLYGON((30400 2800, 32000 2800, 32000 400, 30400 400, 30400 2800))
3127;POLYGON((28800 2800, 30400 2800, 30400 400, 28800 400, 28800 2800))
3128;POLYGON((27200 2800, 28800 2800, 28800 400, 27200 400, 27200 2800))
3031;POLYGON((25600 10000, 27200 10000, 27200 7600, 25600 7600, 25600 10000))
3032;POLYGON((24000 10000, 25600 10000, 25600 7600, 24000 7600, 24000 10000))
3033;POLYGON((22400 10000, 24000 10000, 24000 7600, 22400 7600, 22400 10000))
3034;POLYGON((20800 10000, 22400 10000, 22400 7600, 20800 7600, 20800 10000))
3035;POLYGON((27200 7600, 25600 7600, 25600 5200, 27200 5200, 27200 7600))
3036;POLYGON((24000 7600, 25600 7600, 25600 5200, 24000 5200, 24000 7600))
3037;POLYGON((22400 7600, 24000 7600, 24000 5200, 22400 5200, 22400 7600))
3038;POLYGON((20800 7600, 22400 7600, 22400 5200, 20800 5200, 20800 7600))
3131;POLYGON((25600 5200, 27200 5200, 27200 2800, 25600 2800, 25600 5200))
3132;POLYGON((24000 5200, 25600 5200, 25600 2800, 24000 2800, 24000 5200))
3133;POLYGON((22400 5200, 24000 5200, 24000 2800, 22400 2800, 22400 5200))
3134;POLYGON((20800 5200, 22400 5200, 22400 2800, 20800 2800, 20800 5200))
3135;POLYGON((27200 2800, 25600 2800, 25600 400, 27200 400, 27200 2800))
3136;POLYGON((24000 2800, 25600 2800, 25600 400, 24000 400, 24000 2800))
3137;POLYGON((22400 2800, 24000 2800, 24000 400, 22400 400, 22400 2800))
3138;POLYGON((20800 2800, 22400 2800, 22400 400, 20800 400, 20800 2800))
